id,content,duration,instructor_name,description,category,rating
100,"Course 1",45.12,"Instructor 1","A comprehensive introduction to the subject.","Beginner",4.5
101,"Course 2",60.75,"Instructor 2","Learn the basics and advanced techniques.","Beginner",3.9
102,"Course 3",30.25,"Instructor 3","Practical hands-on exercises for real-world applications.","Beginner",4.2
103,"Course 4",90.0,"Instructor 4","Master the art of problem-solving.","Beginner",4.8
104,"Course 5",50.5,"Instructor 5","Unlock the secrets of effective communication.","Beginner",3.7
105,"Course 6",75.30,"Instructor 6","Discover the wonders of the universe.","Beginner",4.0
106,"Course 7",55.0,"Instructor 7","Build a strong foundation in programming.","Beginner",4.6
107,"Course 8",70.25,"Instructor 8","Navigate the complexities of modern economics.","Beginner",3.5
108,"Course 9",40.75,"Instructor 9","Transform your culinary skills.","Beginner",4.1
109,"Course 10",80.15,"Instructor 10","Create stunning visual artworks.","Beginner",4.9
110,"Course 11",37.5,"Instructor 11","Explore the history of ancient civilizations.","Beginner",3.8
111,"Course 12",65.0,"Instructor 12","Understand the principles of sustainable living.","Beginner",4.2
112,"Course 13",52.0,"Instructor 13","Master the art of photography.","Beginner",4.7
113,"Course 14",68.5,"Instructor 14","Learn the strategies for successful entrepreneurship.","Beginner",3.6
114,"Course 15",42.75,"Instructor 15","Discover the world of classical music.","Beginner",4.3
115,"Course 16",95.0,"Instructor 16","Dive into the realms of literature.","Beginner",3.9
116,"Course 17",48.25,"Instructor 17","Stay fit with a personalized workout routine.","Beginner",4.8
117,"Course 18",78.5,"Instructor 18","Unleash your creativity through writing.","Beginner",4.4
118,"Course 19",55.75,"Instructor 19","Explore the mysteries of the human mind.","Beginner",3.7
119,"Course 20",73.0,"Instructor 20","Learn the strategies of successful negotiation.","Beginner",4.6
120,"Course 21",36.0,"Instructor 21","Appreciate the beauty of modern art.","Beginner",4.2
121,"Course 22",42.5,"Instructor 22","Explore advanced techniques in modern art.","Intermediate",4.5
122,"Course 23",50.0,"Instructor 23","Master the art of watercolor painting.","Intermediate",4.0
123,"Course 24",28.75,"Instructor 24","Create stunning landscapes using acrylics.","Intermediate",4.3
124,"Course 25",65.5,"Instructor 25","Introduction to digital art using Photoshop.","Intermediate",3.8
125,"Course 26",55.25,"Instructor 26","Sculpting fundamentals with clay.","Intermediate",4.2
126,"Course 27",70.0,"Instructor 27","Discover the beauty of abstract expressionism.","Intermediate",4.7
127,"Course 28",40.5,"Instructor 28","Advanced techniques in portrait drawing.","Intermediate",3.9
128,"Course 29",90.25,"Instructor 29","Exploring mixed media art forms.","Intermediate",4.5
129,"Course 30",32.0,"Instructor 30","Capture the essence of nature through art.","Intermediate",4.1
130,"Course 31",75.0,"Instructor 31","Creating visually appealing typography.","Intermediate",4.4
131,"Course 32",47.75,"Instructor 32","Developing your unique artistic style.","Intermediate",3.7
132,"Course 33",55.0,"Instructor 33","Introduction to digital sculpting with ZBrush.","Intermediate",4.6
133,"Course 34",82.5,"Instructor 34","Exploring art therapy techniques.","Intermediate",4.2
134,"Course 35",43.25,"Instructor 35","Mastering color theory in art.","Intermediate",3.9
135,"Course 36",68.0,"Instructor 36","Crafting intricate mandala designs.","Intermediate",4.3
136,"Course 37",27.5,"Instructor 37","Using art to communicate emotions.","Intermediate",3.8
137,"Course 38",58.75,"Instructor 38","Discovering the world of kinetic art.","Intermediate",4.5
138,"Course 39",49.0,"Instructor 39","Creating art with found objects.","Intermediate",4.1
139,"Course 40",72.5,"Instructor 40","Exploring cultural influences in art.","Intermediate",4.9
140,"Course 41",35.0,"Instructor 41","Introduction to art history and movements.","Intermediate",3.8
